World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Research Output,Quality Publications,Influence,Citations,Score
178,Chinese University of Hong Kong,Hong Kong,2,247,> 1000,141,180,156,304,174,78.9
179,University of Liverpool,United Kingdom,17,382,436,294,189,155,135,139,78.9
180,University of Georgia,USA,70,204,337,216,193,190,165,275,78.9
181,Paris Descartes University,France,10,482,916,-,173,134,114,187,78.8
182,University of Massachusetts Medical School,USA,71,-,> 1000,91,505,326,92,200,78.8
183,"University of Science and Technology, Korea",South Korea,2,-,> 1000,-,41,92,270,254,78.8
184,University of Massachusetts Amherst,USA,72,297,253,198,289,226,212,121,78.8
185,University of Florence,Italy,4,458,765,112,213,231,305,200,78.7
186,University of Münster,Germany,12,224,782,222,214,172,182,200,78.7
187,Queen Mary University of London,United Kingdom,18,241,907,198,276,223,156,200,78.7
188,Newcastle University,United Kingdom,19,-,498,261,236,188,140,174,78.7
189,University of Chinese Academy of Sciences,China,6,-,> 1000,-,14,37,220,898,78.6
190,University of Missouri–Columbia,USA,73,490,190,115,265,244,261,222,78.6
191,University of Alabama at Birmingham,USA,74,-,> 1000,-,198,152,126,139,78.6
192,Durham University,United Kingdom,20,141,327,89,327,255,236,240,78.6
193,University of Connecticut,USA,75,573,417,141,210,191,211,254,78.5
194,University of Texas Health Science Center at Houston,USA,76,-,> 1000,194,298,238,143,187,78.5
195,Yeshiva University,USA,77,336,> 1000,266,305,222,97,151,78.5
196,University of Calgary,Canada,7,-,213,-,141,142,153,240,78.5
197,University of Miami,USA,78,-,286,-,204,174,137,129,78.4
198,Western University,Canada,8,454,105,-,164,164,202,167,78.4
199,Paul Sabatier University - Toulouse III,France,11,-,> 1000,-,185,161,116,174,78.4
200,Nanjing University,China,7,479,563,-,78,109,317,163,78.4
201,University of Bologna,Italy,5,645,709,-,116,127,260,129,78.4
202,Sun Yat-sen University,China,8,-,527,-,71,113,302,200,78.3
203,Charles University in Prague,Czech Republic,1,494,> 1000,241,135,230,237,200,78.3
204,University of Cincinnati,USA,79,290,195,-,222,178,167,151,78.3
205,University of Ottawa,Canada,9,366,431,-,162,157,164,200,78.3
206,University of Liège,Belgium,5,159,> 1000,91,337,334,242,174,78.2
207,TU Dresden,Germany,13,-,> 1000,-,172,178,176,129,78.2
208,University of Turin,Italy,6,597,> 1000,202,199,210,263,200,78.2
209,University of Science and Technology of China,China,9,-,347,-,102,112,248,254,78.2
210,"University of Maryland, Baltimore",USA,80,-,> 1000,-,253,192,150,101,78.1
211,University of Sussex,United Kingdom,21,219,387,73,482,365,269,163,78.1
212,RWTH Aachen University,Germany,14,655,298,244,181,186,367,129,78.1
213,University of Cologne,Germany,15,-,287,285,221,206,147,222,78.1
214,University of Würzburg,Germany,16,244,853,213,268,220,186,240,78.1
215,Technical University of Denmark,Denmark,3,640,830,287,216,203,196,93,78
216,University of Erlangen-Nuremberg,Germany,17,346,928,-,166,166,189,151,78
217,University of Illinois at Chicago,USA,81,431,> 1000,-,169,149,205,151,78
218,Sungkyunkwan University,South Korea,3,-,237,-,119,170,295,139,78
219,Louisiana State University,USA,82,548,345,-,190,201,198,108,77.9
220,University of Lisbon,Portugal,1,622,> 1000,291,109,154,291,167,77.9
221,Claude Bernard University Lyon 1,France,12,-,> 1000,-,171,150,158,254,77.9
222,Yonsei University,South Korea,4,-,116,-,76,122,308,363,77.9
223,University of Cape Town,South Africa,1,216,294,187,293,299,190,254,77.9
224,University of Kansas,USA,83,324,270,-,243,218,180,121,77.8
225,University College Dublin,Ireland,1,492,310,127,315,291,276,200,77.8
226,Kyushu University,Japan,9,508,106,-,124,176,238,363,77.8
227,University of Porto,Portugal,2,195,655,191,179,245,323,304,77.8
228,"Trinity College, Dublin",Ireland,2,524,96,283,335,300,222,129,77.7
229,University of Adelaide,Australia,8,444,845,-,197,199,194,187,77.7
230,University of the Witwatersrand,South Africa,2,133,80,216,367,377,187,304,77.7
231,University of Manitoba,Canada,10,301,207,194,281,272,288,275,77.7
232,Karlsruhe Institute of Technology,Germany,18,652,334,244,211,209,326,275,77.7
233,University of Kiel,Germany,19,407,911,282,269,253,172,222,77.6
234,Johannes Gutenberg University Mainz,Germany,20,556,> 1000,279,239,213,193,254,77.6
235,Indiana University – Purdue University Indianapolis,USA,84,-,943,-,250,204,177,222,77.6
236,University of Auckland,New Zealand,1,481,468,-,235,236,250,121,77.6
237,Korea University,South Korea,5,-,108,-,115,159,384,363,77.6
238,University of Tsukuba,Japan,10,398,> 1000,130,259,277,266,405,77.5
239,Wake Forest University,USA,85,445,73,-,366,285,231,167,77.5
240,Ulm University,Germany,21,-,825,174,329,301,199,363,77.5
241,Queensland University of Technology,Australia,9,-,> 1000,-,159,183,201,327,77.5
242,University of Lille,France,13,541,> 1000,-,174,195,246,240,77.5
243,University of Aberdeen,United Kingdom,22,587,649,219,348,293,210,254,77.4
244,Colorado State University,USA,86,307,> 1000,254,282,256,216,304,77.4
245,"University of California, Riverside",USA,87,477,> 1000,-,328,240,149,200,77.4
246,Virginia Commonwealth University,USA,88,-,> 1000,189,330,278,251,304,77.4
247,University of Naples Federico II,Italy,7,616,949,-,149,177,338,200,77.4
248,Florida State University,USA,89,475,645,-,275,235,232,139,77.3
249,Maastricht University,Netherlands,9,-,> 1000,-,223,169,293,187,77.3
250,Brandeis University,USA,90,20,251,66,948,636,217,405,77.3
251,Oregon State University,USA,91,328,519,-,294,267,173,187,77.3
252,University of Bergen,Norway,2,-,> 1000,-,264,241,181,222,77.3
253,Wayne State University,USA,92,-,263,-,266,234,267,163,77.2
254,"University of Tennessee, Knoxville",USA,93,585,288,-,231,224,233,240,77.2
255,Umeå University,Sweden,7,-,> 1000,238,336,281,207,275,77.2
256,London School of Hygiene & Tropical Medicine,United Kingdom,23,-,> 1000,-,392,257,151,174,77.2
257,University of New Mexico,USA,94,-,> 1000,-,304,251,174,200,77.2
258,National Autonomous University of Mexico,Mexico,1,491,> 1000,-,105,219,249,405,77.2
259,University of Kentucky,USA,95,611,535,-,227,216,275,200,77.1
260,University of Warsaw,Poland,1,150,> 1000,96,380,415,360,275,77.1
261,Queen's University,Canada,11,588,378,141,320,287,316,363,77.1
262,University of South Florida,USA,96,-,724,-,256,248,256,174,77.1
263,Norwegian University of Science and Technology,Norway,3,523,397,88,339,349,463,327,77.1
264,Complutense University of Madrid,Spain,3,193,131,300,178,214,321,363,77
265,Xi'an Jiaotong University,China,10,-,201,-,112,180,451,327,77
266,University of Leicester,United Kingdom,24,-,> 1000,-,345,280,131,275,77
267,Medical University of Vienna,Austria,2,-,> 1000,-,301,252,200,200,77
268,University of Waterloo,Canada,12,-,222,-,196,194,353,275,77
269,Laval University,Canada,13,564,499,-,241,225,252,275,76.9
270,Shandong University,China,11,-,800,-,84,153,571,327,76.9
271,University of Valencia,Spain,4,-,> 1000,-,215,237,349,174,76.9
272,University of East Anglia,United Kingdom,25,227,> 1000,227,471,353,224,187,76.9
273,University at Buffalo,USA,97,233,747,-,263,221,292,222,76.9
274,London School of Economics,United Kingdom,26,44,85,90,655,506,627,240,76.9
275,Virginia Tech,USA,98,544,322,-,206,211,259,363,76.8
276,Huazhong University of Science and Technology,China,12,-,244,-,77,124,537,541,76.8
277,Washington State University,USA,99,-,748,174,321,312,289,460,76.8
278,Dalhousie University,Canada,14,218,290,-,308,305,225,200,76.8
279,University of York,United Kingdom,27,-,> 1000,-,362,284,208,174,76.8
280,Autonomous University of Madrid,Spain,5,-,932,-,257,246,285,240,76.7
281,University of Exeter,United Kingdom,28,506,684,-,331,270,168,327,76.7
282,University of South Carolina - Columbia,USA,100,-,503,257,334,288,436,174,76.7
283,University of Rome Tor Vergata,Italy,8,-,> 1000,-,273,282,303,174,76.7
284,Delft University of Technology,Netherlands,10,566,406,-,224,228,281,363,76.7
285,University of Pisa,Italy,9,538,> 1000,-,228,261,337,222,76.7
286,Kobe University,Japan,11,160,445,141,369,418,318,327,76.6
287,Leipzig University,Germany,22,599,> 1000,295,284,279,229,275,76.6
288,University of Delaware,USA,101,396,688,177,371,304,341,405,76.6
289,Georgetown University,USA,102,277,59,-,427,331,319,275,76.6
290,University of Duisburg-Essen,Germany,23,-,> 1000,-,299,297,215,254,76.6
291,Ruhr University Bochum,Germany,24,-,370,-,245,259,283,327,76.6
292,University of Antwerp,Belgium,6,-,714,-,287,262,329,200,76.5
293,University of Buenos Aires,Argentina,1,305,> 1000,231,237,306,350,460,76.5
294,University of Düsseldorf,Germany,25,409,> 1000,-,347,317,219,222,76.5
295,KAIST,South Korea,6,-,156,-,209,187,306,673,76.5
296,Sichuan University,China,13,-,> 1000,-,75,181,370,898,76.5
297,National Cheng Kung University,Taiwan,2,-,102,-,168,202,484,541,76.5
298,Federal University of Rio de Janeiro,Brazil,2,316,401,-,192,316,328,304,76.4
299,University of Houston,USA,103,-,114,-,358,311,290,275,76.4
300,Harbin Institute of Technology,China,14,-,470,-,104,163,794,405,76.4
301,University of Innsbruck,Austria,3,414,787,136,528,450,241,327,76.4
302,Chinese Academy of Medical Sciences & Peking Union Medical College,China,15,-,> 1000,-,248,310,239,363,76.4
303,Waseda University,Japan,12,562,23,-,470,471,445,541,76.4
304,University of Texas at Dallas,USA,104,412,493,185,521,401,383,222,76.3
305,National and Kapodistrian University of Athens,Greece,1,-,634,-,201,268,416,275,76.3
306,University of Hawaii at Manoa,USA,105,-,> 1000,100,574,447,245,541,76.3
307,University of Lorraine,France,14,470,376,271,311,328,314,363,76.3
308,George Washington University,USA,106,413,169,-,352,295,234,405,76.3
309,University of Otago,New Zealand,2,-,864,-,323,308,282,254,76.3
310,Versailles Saint-Quentin-en-Yvelines University,France,15,-,> 1000,-,442,344,191,240,76.2
311,Simon Fraser University,Canada,15,-,> 1000,-,370,302,262,254,76.2
312,Tongji University,China,16,335,248,-,156,250,396,541,76.2
313,University of Nebraska–Lincoln,USA,107,360,386,-,325,298,309,275,76.2
314,University of Perugia,Italy,10,-,> 1000,164,426,412,307,460,76.2
315,Queen's University Belfast,United Kingdom,29,371,752,-,356,309,294,254,76.2
316,University of Texas Health Science Center at San Antonio,USA,108,-,> 1000,-,489,358,240,167,76.1
317,University of Jena,Germany,26,-,> 1000,299,278,266,264,460,76.1
318,University of Granada,Spain,6,-,> 1000,-,251,294,497,200,76.1
319,South China University of Technology,China,17,-,228,-,200,242,661,304,76.1
320,University of Dundee,United Kingdom,30,318,> 1000,-,536,391,192,174,76.1
321,Vrije Universiteit Brussel,Belgium,7,213,> 1000,-,350,320,271,304,76.1
322,George Mason University,USA,109,-,> 1000,85,560,487,357,460,76
323,King Abdulaziz University,Saudi Arabia,1,-,> 1000,-,255,357,274,363,76
324,Macquarie University,Australia,10,-,667,277,393,339,299,327,76
325,Pontifical Catholic University of Chile,Chile,1,252,221,235,385,428,330,405,76
326,University of Guelph,Canada,16,-,> 1000,-,360,352,325,200,76
327,University of Regensburg,Germany,27,-,727,-,386,341,258,275,76
328,Central South University,China,18,-,262,-,129,262,617,460,76
329,Grenoble Institute of Technology,France,16,200,> 1000,261,388,354,572,200,75.9
330,Thomas Jefferson University,USA,110,274,> 1000,-,461,368,331,151,75.9
331,Mines ParisTech,France,17,315,7,214,> 1000,> 1000,824,> 1000,75.9
332,University of St Andrews,United Kingdom,31,279,811,-,437,318,197,405,75.9
333,Medical University of South Carolina,USA,111,-,> 1000,-,421,333,320,222,75.9
334,Jilin University,China,19,463,551,-,100,185,462,> 1000,75.9
335,Wuhan University,China,20,-,383,-,143,207,458,898,75.8
336,Hanyang University,South Korea,7,-,241,-,194,276,479,460,75.8
337,Nankai University,China,21,628,354,-,252,254,468,405,75.8
338,University of Southern Denmark,Denmark,4,-,> 1000,-,376,329,280,327,75.8
339,University of Turku,Finland,2,-,> 1000,-,355,322,277,363,75.8
340,Hong Kong University of Science and Technology,Hong Kong,3,-,496,-,354,265,465,254,75.8
341,Temple University,USA,112,537,754,-,382,321,296,327,75.8
342,Hong Kong Polytechnic University,Hong Kong,4,-,301,-,238,243,877,304,75.7
343,University of Belgrade,Serbia,1,542,> 1000,-,157,370,491,327,75.7
344,Northeastern University,USA,113,581,144,-,473,360,247,363,75.7
345,University of Stuttgart,Germany,28,185,358,238,479,441,391,304,75.7
346,Dalian University of Technology,China,22,-,257,-,176,269,745,405,75.7
347,Tianjin University,China,23,-,172,-,182,249,677,541,75.7
348,Pohang University of Science and Technology,South Korea,8,-,> 1000,-,363,315,352,304,75.7
349,University of Genoa,Italy,11,-,> 1000,-,306,327,385,304,75.6
350,Hannover Medical School,Germany,29,-,> 1000,-,373,332,226,460,75.6
351,Griffith University,Australia,11,-,> 1000,-,361,375,351,240,75.6
352,"University at Albany, SUNY",USA,114,130,920,204,600,473,411,254,75.6
353,University of Giessen,Germany,30,-,> 1000,-,387,356,390,222,75.6
354,Drexel University,USA,115,-,292,-,444,378,386,187,75.6
355,Aalto University,Finland,3,-,238,-,340,319,398,363,75.6
356,Pompeu Fabra University,Spain,7,-,> 1000,-,559,402,155,405,75.5
357,Linköping University,Sweden,8,-,549,-,343,330,388,327,75.5
358,City University of Hong Kong,Hong Kong,5,-,> 1000,-,262,239,798,327,75.5
359,University of the Basque Country,Spain,8,-,> 1000,-,288,296,343,541,75.5
360,University of Campinas,Brazil,3,-,> 1000,-,163,307,528,541,75.5
361,"Soochow University, China",China,24,-,> 1000,-,226,271,704,405,75.5
362,Kansas State University,USA,116,288,451,-,448,409,336,254,75.5
363,University of Victoria,Canada,17,-,> 1000,-,428,351,365,275,75.4
364,Polytechnic University of Milan,Italy,12,263,458,272,344,345,628,363,75.4
365,University of Oulu,Finland,4,503,665,-,446,407,310,275,75.4
366,University of Pavia,Italy,13,560,675,300,375,361,434,275,75.4
367,Southeast University,China,25,385,> 1000,-,175,286,654,541,75.4
368,Swedish University of Agricultural Sciences,Sweden,9,196,> 1000,-,430,379,297,363,75.4
369,Xiamen University,China,26,-,177,-,246,260,471,898,75.4
370,University of Ljubljana,Slovenia,1,-,> 1000,-,260,374,415,405,75.3
371,Islamic Azad University,Iran,1,-,> 1000,-,66,406,> 1000,460,75.3
372,"UNESP, São Paulo State University",Brazil,4,-,> 1000,-,128,347,639,541,75.3
373,University of New Hampshire,USA,117,-,508,120,762,612,340,405,75.3
374,Medical College of Wisconsin,USA,118,-,> 1000,-,499,387,268,327,75.3
375,Aristotle University of Thessaloniki,Greece,2,-,> 1000,-,285,384,670,240,75.3
376,University of Vermont,USA,119,372,459,-,524,389,301,304,75.3
377,Hiroshima University,Japan,13,-,> 1000,-,312,366,311,541,75.2
378,National Tsing Hua University,Taiwan,3,321,> 1000,-,316,273,489,460,75.2
379,Eindhoven University of Technology,Netherlands,11,-,759,259,377,335,526,541,75.2
380,University of Marburg,Germany,31,574,> 1000,303,439,364,265,460,75.2
381,Jagiellonian University,Poland,2,-,> 1000,-,279,381,380,460,75.2
382,Pusan National University,South Korea,9,-,695,-,204,343,519,541,75.2
383,Beijing Normal University,China,27,110,> 1000,-,277,313,510,541,75.2
384,University of Chile,Chile,2,411,466,274,319,410,324,898,75.1
385,Kyung Hee University,South Korea,10,489,> 1000,-,240,342,561,460,75.1
386,Lancaster University,United Kingdom,32,-,565,-,456,388,424,254,75.1
387,Deakin University,Australia,12,-,922,-,397,385,481,254,75.1
